厉害了我的伦//@周杰伦传媒:2008年汶川地震，周杰伦了解后第一时间捐款赈灾，之后又将「5.24重庆演唱会」改为「抗震救灾慈善募捐演唱会」，演出所得全部捐到灾区。之后又创作励志歌曲《稻香》鼓励大家知足珍惜〃,90,北京
话剧#戏剧在微博##遇见艺术#88岁话剧表演艺术家朱旭去世，留下佳作无数被称中国荧幕第一父。朱旭先生在离休后，还一直关注着北京人艺的建设和发展，还积极的投入到公益事业中，非典时期，汶川地震，朱旭先生都积极的捐款。虽然朱旭先生已经去世了，但是他的作品和艺术方面的成就一直都在，会一直影响着后代。 L话剧看不停的微博视频 收起全文d,90,北京
记得是汶川地震那年，我家养了只乌龟，在电视机的边上用缸放着的，我妈妈和她几个朋友在看电视，突然听到好像气艇发动的声音，她一个朋友就说是不是要地震了，赶快去外面，其实是乌龟放屁了，那天我回家笑得趴下了。 ​,90,山东
亚洲最穷国家，汶川地震后举全国之力捐款5万，如今中国全方位援助 L单骑万里游的秒拍视频 ​,90,北京
当时在当大队长，大队辅导送了我一大包//@人不就是关关难过关关过:我记得当时汶川地震第一批捐款的时候给捐了一百块以上的同学发那个黑色的，然后就有同学为了要那个黑色手环第二次捐三位数的…我内心：真有钱啊,90,北京
我记得当时汶川地震第一批捐款的时候给捐了一百块以上的同学发那个黑色的，然后就有同学为了要那个黑色手环第二次捐三位数的…我内心：真有钱啊,90,北京
【因汶川地震结为“母女”，10年后“女儿”在郑州遇车祸，“妈妈”叫来一群人帮忙】李小凤是绵阳人，1月3日一家六口从山东开车回老家时遭遇车祸，车辆损坏被拖走。李小凤向住在郑州的朱素玲求助，两人在汶川地震中结识。朱素玲立即发动其他志愿者一起帮忙，让李小凤一家很感动。L一手video的秒拍视频 ​,90,湖北
【5岁时被父亲踹成瘫痪，残疾小伙贴膜6年终于买房】河南南阳小伙夏西伟以三轮车为腿、贴膜为生。5岁那年，父亲又一次喝醉酒和母亲吵架之后，一脚踹在他的后腰上，造成高位截瘫。22岁那年，夏西伟前往南阳乞讨。2008年汶川地震，他将自己白天乞讨得来的30块钱捐给灾区人民。并自此下定决心，不再靠乞讨为生，要用双手讨回生活的尊严。此后，夏西伟先后从事过卖气球、卖CD、摆摊等各种小生意，最终选择贴膜。现在，他每天都在广场上贴膜，一张10块钱，生意好的时候一个月能赚3000多元。2014年，夏西伟用自己六年来贴膜攒下的钱在南阳城区买了一套住宅，终于有了自己的立身之地。夏西伟表示，自己已经原谅了父亲。“现在父亲是我唯一的亲人，也是我最重要的人。他现在也老了，照顾他是我的责任。” @新京报我们视频  L新京报我们视频的秒拍视频 收起全文d,90,北京
课上，老师问小朋友们：“你们知道谁是英雄吗？”这时，小刚怯怯的站起来，小声的说：“我爸爸是英雄。”他一说完，大家都笑了，因为他们认为他爸爸怎么可能是英雄。老师也有点诧异，问小刚：“为什么呀？”“因为我妈妈说汶川地震的时候他为了救我们全村人，去了很远的地方”。O网页链接 ​,90,广东
包括每逢带8的年份都有事情发生 98洪灾 08汶川地震  18股灾,90,北京
